import time: self [us] | cumulative | imported package
import time:        34 |         34 |           _winapi
import time:        26 |         26 |           winreg
import time:       348 |        408 |         mimetypes
import time:       515 |        515 |         email.header
import time:       298 |        298 |               email._policybase
import time:       423 |        720 |             email.feedparser
import time:       255 |        975 |           email.parser
import time:       241 |        241 |             email._encoded_words
import time:       288 |        288 |             email.iterators
import time:       472 |       1001 |           email.message
import time:       796 |       2771 |         http.client
import time:       536 |        536 |                   django.db.models.utils
import time:       322 |        858 |                 django.db.models.signals
import time:       889 |        889 |                       _uuid
import time:       466 |       1355 |                     uuid
import time:       324 |        324 |                                         django.template.context
import time:       259 |        259 |                                         django.utils.deprecation
import time:       120 |        120 |                                             django.utils.dates
import time:       404 |        404 |                                                   sysconfig
import time:       528 |        528 |                                                   _sysconfigdata__darwin_darwin
import time:       297 |        297 |                                                   _osx_support
import time:      1072 |       2299 |                                                 zoneinfo._tzpath
import time:       232 |        232 |                                                 zoneinfo._common
import time:       700 |        700 |                                                 _zoneinfo
import time:       213 |       3442 |                                               zoneinfo
import time:       226 |       3667 |                                             django.utils.timezone
import time:       260 |       4046 |                                           django.utils.dateformat
import time:       139 |        139 |                                           django.utils.numberformat
import time:       334 |       4519 |                                         django.utils.formats
import time:       380 |        380 |                                             _markupbase
import time:       761 |       1140 |                                           html.parser
import time:       171 |        171 |                                             django.utils.deconstruct
import time:        97 |         97 |                                             django.utils.ipv6
import time:      1062 |       1329 |                                           django.core.validators
import time:       503 |        503 |                                             gzip
import time:       633 |       1136 |                                           django.utils.text
import time:       529 |       4133 |                                         django.utils.html
import time:       156 |        156 |                                         django.template.exceptions
import time:       615 |      10004 |                                       django.template.base
import time:       363 |        363 |                                       django.template.library
import time:       282 |      10649 |                                     django.template.engine
import time:       264 |        264 |                                     django.template.utils
import time:        99 |         99 |                                         django.template.backends
import time:       174 |        174 |                                           django.utils._os
import time:       114 |        288 |                                         django.template.backends.base
import time:       296 |        682 |                                       django.template.backends.django
import time:       210 |        892 |                                     django.template.autoreload
import time:       218 |      12021 |                                   django.template
import time:         9 |      12029 |                                 django.template.backends
import time:         9 |      12038 |                               django.template.backends.django
import time:       109 |        109 |                               django.template.loader
import time:       226 |      12371 |                             django.forms.renderers
import time:       309 |      12679 |                           django.forms.utils
import time:       279 |        279 |                             graphlib
import time:        97 |         97 |                               django.templatetags
import time:       257 |        354 |                             django.templatetags.static
import time:       241 |        241 |                             django.utils.choices
import time:       893 |       1766 |                           django.forms.widgets
import time:       369 |      14812 |                         django.forms.boundfield
import time:       114 |        114 |                           django.utils.dateparse
import time:       174 |        174 |                           django.utils.duration
import time:       775 |       1062 |                         django.forms.fields
import time:       337 |        337 |                         django.forms.forms
import time:       460 |        460 |                         django.forms.formsets
import time:       594 |        594 |                         django.forms.models
import time:       163 |      17425 |                       django.forms
import time:       308 |        308 |                       django.db.models.constants
import time:       224 |        224 |                         django.db.transaction
import time:       190 |        190 |                         django.utils.tree
import time:       447 |        860 |                       django.db.models.query_utils
import time:      1330 |      19922 |                     django.db.models.fields
import time:       300 |        300 |                     django.db.models.enums
import time:      1212 |      22787 |                   django.db.models.expressions
import time:       329 |        329 |                     django.db.models.functions.comparison
import time:      1153 |       1153 |                       django.db.models.lookups
import time:       569 |       1722 |                     django.db.models.functions.datetime
import time:       200 |        200 |                         django.db.models.fields.mixins
import time:       835 |       1035 |                       django.db.models.fields.json
import time:       178 |       1213 |                     django.db.models.functions.json
import time:       198 |        198 |                       django.db.models.functions.mixins
import time:       531 |        728 |                     django.db.models.functions.math
import time:       630 |        630 |                     django.db.models.functions.text
import time:       297 |        297 |                     django.db.models.functions.window
import time:       289 |       5205 |                   django.db.models.functions
import time:       454 |      28445 |                 django.db.models.aggregates
import time:       167 |        167 |                       django.db.backends
import time:       315 |        482 |                     django.db.backends.utils
import time:       225 |        225 |                         django.db.models.sql.constants
import time:       245 |        245 |                         django.db.models.sql.datastructures
import time:       246 |        246 |                         django.db.models.sql.where
import time:       803 |       1518 |                       django.db.models.sql.query
import time:       269 |        269 |                       django.db.models.sql.subqueries
import time:       178 |       1963 |                     django.db.models.sql
import time:       271 |       2715 |                   django.db.models.indexes
import time:       421 |       3136 |                 django.db.models.constraints
import time:       398 |        398 |                 django.db.models.deletion
import time:       384 |        384 |                   django.db.models.fields.tuple_lookups
import time:       306 |        690 |                 django.db.models.fields.composite
import time:       275 |        275 |                   django.core.files.images
import time:       300 |        300 |                     django.core.files.storage.base
import time:       224 |        224 |                       django.core.files.storage.mixins
import time:       880 |       1103 |                     django.core.files.storage.filesystem
import time:       456 |        456 |                     django.core.files.storage.handler
import time:       330 |        330 |                     django.core.files.storage.memory
import time:       180 |       2368 |                   django.core.files.storage
import time:       633 |       3275 |                 django.db.models.fields.files
import time:       278 |        278 |                 django.db.models.fields.generated
import time:       116 |        116 |                 django.db.models.fields.proxy
import time:       765 |        765 |                   django.db.models.query
import time:       448 |       1212 |                 django.db.models.manager
import time:       527 |        527 |                     django.db.models.fields.related_descriptors
import time:       259 |        259 |                     django.db.models.fields.related_lookups
import time:       286 |        286 |                     django.db.models.fields.reverse_related
import time:       553 |       1624 |                   django.db.models.fields.related
import time:       863 |        863 |                   django.db.models.options
import time:       631 |       3117 |                 django.db.models.base
import time:       287 |      41807 |               django.db.models
import time:       389 |      42196 |             django.core.serializers.base
import time:       295 |      42490 |           django.core.serializers
import time:       239 |        239 |           django.core.serializers.python
import time:       191 |      42920 |         django.core.serializers.json
import time:       602 |      47213 |       django.http.response
import time:       197 |      61254 |     django.http
import time:       237 |        237 |     django.urls.exceptions
import time:       258 |        258 |       django.urls.converters
import time:       165 |        165 |       django.urls.utils
import time:       396 |        817 |     django.urls.resolvers
import time:       246 |      62553 |   django.urls.base
import time:       255 |        255 |   django.urls.conf
import time:       235 |      63041 | django.urls
import time:       593 |        593 |     logging.handlers
import time:       546 |        546 |     socketserver
import time:       790 |       1928 |   logging.config
import time:      1233 |       1233 |           email._header_value_parser
import time:       456 |       1689 |         email.headerregistry
import time:       234 |        234 |         email.contentmanager
import time:       296 |       2218 |       email.policy
import time:       353 |        353 |       email.generator
import time:       217 |        217 |         email.mime
import time:       303 |        520 |       email.mime.base
import time:        95 |         95 |         email.mime.nonmultipart
import time:       147 |        241 |       email.mime.message
import time:        91 |         91 |       email.mime.multipart
import time:        93 |         93 |       email.mime.text
import time:       100 |        100 |       django.core.mail.utils
import time:       690 |       4304 |     django.core.mail.message
import time:       244 |       4547 |   django.core.mail
import time:       329 |       6803 | django.utils.log
import time:       132 |        132 |       django.template.response
import time:       110 |        110 |       django.utils.decorators
import time:       198 |        439 |     django.views.generic.base
import time:       129 |        129 |       django.views.generic.detail
import time:   3413921 |    3413921 |         django.core.paginator
import time:       556 |    3414477 |       django.views.generic.list
import time:       864 |    3415470 |     django.views.generic.dates
import time:   2089282 |    2089282 |     django.views.generic.edit
import time:       317 |    5505507 |   django.views.generic
import time:        32 |    5505539 | django.views.generic.base
import time:      1751 |       1751 |     dataclasses
import time:      1820 |       3570 |   pprint
import time:   1856163 |    1856163 |   django.utils.timesince
import time:   2657443 |    4517175 | django.template.defaultfilters
import time:   2863639 |    2863639 |   django.views.decorators
import time:   2274662 |    5138300 | django.views.decorators.csp
import time:   1895015 |    1895015 | django.views.decorators.debug
import time:   2321614 |    2321614 |   django.utils.lorem_ipsum
import time:   1352790 |    1352790 |   django.template.smartif
import time:   2643273 |    6317676 | django.template.defaulttags
import time:   1583770 |    1583770 | django.contrib.admin.decorators
import time:   1424587 |    1424587 |   django.contrib.admin.exceptions
import time:   1536427 |    1536427 |         django.contrib.messages.constants
import time:   1581838 |    1581838 |         django.contrib.messages.storage
import time:   1416940 |    4535204 |       django.contrib.messages.api
import time:   2732801 |    2732801 |         django.contrib.messages.utils
import time:   1500237 |    4233038 |       django.contrib.messages.storage.base
import time:   1494205 |   10262446 |     django.contrib.messages
import time:   1400049 |    1400049 |             django.middleware
import time:   1515108 |    1515108 |             django.utils.cache
import time:   1483771 |    4398927 |           django.middleware.csrf
import time:   3486206 |    3486206 |           django.contrib.auth.signals
import time:   2623766 |   10508897 |         django.contrib.auth
import time:   1569636 |    1569636 |           django.contrib.auth.templatetags
import time:   2078727 |    2078727 |           django.contrib.auth.hashers
import time:   1387094 |    5035455 |         django.contrib.auth.templatetags.auth
import time:   1530859 |   17075210 |       django.contrib.admin.utils
import time:   1697466 |   18772676 |     django.contrib.admin.helpers
import time:   2324439 |    2324439 |     django.contrib.admin.widgets
import time:   2105590 |    2105590 |     django.contrib.admin.checks
import time:   1388244 |    1388244 |       django.contrib.admin.templatetags
import time:   1648064 |    3036308 |     django.contrib.admin.templatetags.admin_urls
import time:   1569440 |    1569440 |     django.views.decorators.csrf
import time:   2092258 |   40163155 |   django.contrib.admin.options
import time:   1389938 |   42977679 | django.contrib.admin.filters
import time:   1403142 |    1403142 |   django.contrib.admin.actions
import time:   1376708 |    1376708 |     django.contrib.admin.views
import time:   1453184 |    2829892 |   django.contrib.admin.views.autocomplete
import time:   1669135 |    1669135 |     django.shortcuts
import time:   1472112 |    3141246 |   django.contrib.auth.decorators
import time:   2182183 |    2182183 |     django.middleware.cache
import time:   1422706 |    3604888 |   django.views.decorators.cache
import time:   1381917 |    1381917 |   django.views.decorators.common
import time:   1397780 |    1397780 |   django.views.i18n
import time:   1457517 |   15216379 | django.contrib.admin.sites
import time:       699 |        699 |     getpass
import time:   1407436 |    1407436 |       django.contrib.contenttypes
import time:    435857 |     435857 |           django.db.migrations.utils
import time:   1454632 |    1890489 |         django.db.migrations.migration
import time:   1458233 |    3348721 |       django.db.migrations
import time:   1422561 |    6178717 |     django.contrib.contenttypes.management
import time:   1411395 |    7590811 |   django.contrib.auth.management
import time:   2053128 |    9643939 | django.contrib.auth.checks
Traceback (most recent call last):
  File "/Users/monishsoorya/Documents/final_project/backend/manage.py", line 22, in <module>
    main()
  File "/Users/monishsoorya/Documents/final_project/backend/manage.py", line 18, in main
    execute_from_command_line(sys.argv)
  File "/Users/monishsoorya/Documents/final_project/backend/venv/lib/python3.12/site-packages/django/core/management/__init__.py", line 443, in execute_from_command_line
    utility.execute()
  File "/Users/monishsoorya/Documents/final_project/backend/venv/lib/python3.12/site-packages/django/core/management/__init__.py", line 417, in execute
    django.setup()
  File "/Users/monishsoorya/Documents/final_project/backend/venv/lib/python3.12/site-packages/django/__init__.py", line 24, in setup
    apps.populate(settings.INSTALLED_APPS)
  File "/Users/monishsoorya/Documents/final_project/backend/venv/lib/python3.12/site-packages/django/apps/registry.py", line 91, in populate
    app_config = AppConfig.create(entry)
                 ^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/monishsoorya/Documents/final_project/backend/venv/lib/python3.12/site-packages/django/apps/config.py", line 123, in create
    mod = import_module(mod_path)
          ^^^^^^^^^^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/importlib/__init__.py", line 90, in import_module
    return _bootstrap._gcd_import(name[level:], package, level)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "<frozen importlib._bootstrap>", line 1387, in _gcd_import
  File "<frozen importlib._bootstrap>", line 1360, in _find_and_load
  File "<frozen importlib._bootstrap>", line 1331, in _find_and_load_unlocked
  File "<frozen importlib._bootstrap>", line 935, in _load_unlocked
  File "<frozen importlib._bootstrap_external>", line 995, in exec_module
  File "<frozen importlib._bootstrap>", line 488, in _call_with_frames_removed
  File "/Users/monishsoorya/Documents/final_project/backend/venv/lib/python3.12/site-packages/django/contrib/auth/apps.py", line 8, in <module>
    from .checks import check_middleware, check_models_permissions, check_user_model
  File "/Users/monishsoorya/Documents/final_project/backend/venv/lib/python3.12/site-packages/django/contrib/auth/checks.py", line 9, in <module>
    from .management import _get_builtin_permissions
  File "/Users/monishsoorya/Documents/final_project/backend/venv/lib/python3.12/site-packages/django/contrib/auth/management/__init__.py", line 10, in <module>
    from django.contrib.contenttypes.management import create_contenttypes
  File "/Users/monishsoorya/Documents/final_project/backend/venv/lib/python3.12/site-packages/django/contrib/contenttypes/management/__init__.py", line 2, in <module>
    from django.db import DEFAULT_DB_ALIAS, IntegrityError, migrations, router, transaction
  File "/Users/monishsoorya/Documents/final_project/backend/venv/lib/python3.12/site-packages/django/db/migrations/__init__.py", line 1, in <module>
    from .migration import Migration, swappable_dependency  # NOQA
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/monishsoorya/Documents/final_project/backend/venv/lib/python3.12/site-packages/django/db/migrations/migration.py", line 3, in <module>
    from django.db.migrations.utils import get_migration_name_timestamp
  File "<frozen importlib._bootstrap>", line 1360, in _find_and_load
  File "<frozen importlib._bootstrap>", line 1331, in _find_and_load_unlocked
  File "<frozen importlib._bootstrap>", line 935, in _load_unlocked
  File "<frozen importlib._bootstrap_external>", line 991, in exec_module
  File "<frozen importlib._bootstrap_external>", line 1087, in get_code
  File "<frozen importlib._bootstrap_external>", line 1187, in get_data
KeyboardInterrupt
import time:       423 |        423 | gc
