import time: self [us] | cumulative | imported package
import time:   1591484 |    1591484 |                                             django.utils.ipv6
import time:   1459080 |    4456301 |                                           django.core.validators
import time:      1964 |       1964 |                                             gzip
import time:   1558860 |    1560824 |                                           django.utils.text
import time:   1905874 |    7926974 |                                         django.utils.html
import time:   2283186 |    2283186 |                                         django.template.exceptions
import time:   2239000 |   22573282 |                                       django.template.base
import time:   2521362 |    2521362 |                                       django.template.library
import time:   1928944 |   27023587 |                                     django.template.engine
import time:   1413274 |    1413274 |                                     django.template.utils
import time:   2312876 |    2312876 |                                         django.template.backends
import time:   1400125 |    1400125 |                                           django.utils._os
import time:   1501114 |    2901238 |                                         django.template.backends.base
import time:   1505319 |    6719432 |                                       django.template.backends.django
import time:   1905844 |    8625276 |                                     django.template.autoreload
import time:   1495614 |   38557749 |                                   django.template
import time:        55 |   38557803 |                                 django.template.backends
import time:       117 |   38557920 |                               django.template.backends.django
import time:   1027307 |    1027307 |                               django.template.loader
import time:   2521277 |   42106503 |                             django.forms.renderers
import time:   1481482 |   43587985 |                           django.forms.utils
import time:       989 |        989 |                             graphlib
import time:   1704648 |    1704648 |                               django.templatetags
import time:   1502186 |    3206834 |                             django.templatetags.static
import time:   1408001 |    1408001 |                             django.utils.choices
import time:   2353327 |    6969150 |                           django.forms.widgets
import time:    987511 |   51544644 |                         django.forms.boundfield
import time:   1692849 |    1692849 |                           django.utils.dateparse
import time:   1557359 |    1557359 |                           django.utils.duration
import time:   2117193 |    5367400 |                         django.forms.fields
import time:   1459818 |    1459818 |                         django.forms.forms
import time:   1629270 |    1629270 |                         django.forms.formsets
import time:   1799446 |    1799446 |                         django.forms.models
import time:   1883457 |   63684032 |                       django.forms
import time:   1839610 |    1839610 |                       django.db.models.constants
import time:   1870300 |    1870300 |                         django.db.transaction
import time:   1684019 |    1684019 |                         django.utils.tree
import time:   1517180 |    5071498 |                       django.db.models.query_utils
import time:   1181691 |   71776829 |                     django.db.models.fields
import time:   1998669 |    1998669 |                     django.db.models.enums
import time:   1701221 |   75481778 |                   django.db.models.expressions
import time:    979796 |     979796 |                     django.db.models.functions.comparison
import time:   2873144 |    2873144 |                       django.db.models.lookups
import time:   1989440 |    4862583 |                     django.db.models.functions.datetime
import time:   2182094 |    2182094 |                         django.db.models.fields.mixins
import time:   1568476 |    3750569 |                       django.db.models.fields.json
import time:    900052 |    4650620 |                     django.db.models.functions.json
import time:   2248454 |    2248454 |                       django.db.models.functions.mixins
import time:   1484457 |    3732910 |                     django.db.models.functions.math
import time:   1611215 |    1611215 |                     django.db.models.functions.text
import time:   1408580 |    1408580 |                     django.db.models.functions.window
import time:   1448826 |   18694527 |                   django.db.models.functions
import time:   1895010 |   96071315 |                 django.db.models.aggregates
import time:   1387551 |    1387551 |                       django.db.backends
import time:   1555704 |    2943254 |                     django.db.backends.utils
import time:   1307010 |    1307010 |                         django.db.models.sql.constants
import time:   1431442 |    1431442 |                         django.db.models.sql.datastructures
import time:   1591021 |    1591021 |                         django.db.models.sql.where
import time:   1528755 |    5858227 |                       django.db.models.sql.query
import time:   1265249 |    1265249 |                       django.db.models.sql.subqueries
import time:   1476911 |    8600386 |                     django.db.models.sql
import time:   1453934 |   12997573 |                   django.db.models.indexes
import time:   1589787 |   14587360 |                 django.db.models.constraints
import time:   1521955 |    1521955 |                 django.db.models.deletion
import time:   1699653 |    1699653 |                   django.db.models.fields.tuple_lookups
import time:   1689794 |    3389446 |                 django.db.models.fields.composite
import time:   1368698 |    1368698 |                   django.core.files.images
import time:   1303958 |    1303958 |                     django.core.files.storage.base
import time:   1732888 |    1732888 |                       django.core.files.storage.mixins
import time:   1284445 |    3017332 |                     django.core.files.storage.filesystem
import time:   1475468 |    1475468 |                     django.core.files.storage.handler
import time:   2407097 |    2407097 |                     django.core.files.storage.memory
import time:   1427427 |    9631280 |                   django.core.files.storage
import time:   1842730 |   12842707 |                 django.db.models.fields.files
import time:   1383745 |    1383745 |                 django.db.models.fields.generated
import time:   1420247 |    1420247 |                 django.db.models.fields.proxy
import time:   2291500 |    2291500 |                   django.db.models.query
import time:   1321347 |    3612846 |                 django.db.models.manager
import time:   1563346 |    1563346 |                     django.db.models.fields.related_descriptors
import time:   1426001 |    1426001 |                     django.db.models.fields.related_lookups
import time:   1355442 |    1355442 |                     django.db.models.fields.reverse_related
import time:   1466859 |    5811646 |                   django.db.models.fields.related
import time:   1625957 |    1625957 |                   django.db.models.options
import time:   1835934 |    9273536 |                 django.db.models.base
import time:   2223064 |  150451807 |               django.db.models
import time:   1854604 |  152306411 |             django.core.serializers.base
import time:   1385500 |  153691911 |           django.core.serializers
import time:   1413995 |    1413995 |           django.core.serializers.python
import time:   1582751 |  156688656 |         django.core.serializers.json
import time:   1940165 |  158639903 |       django.http.response
import time:   1948620 |  183253311 |     django.http
import time:   1427058 |    1427058 |     django.urls.exceptions
import time:   1439879 |    1439879 |       django.urls.converters
import time:   1271471 |    1271471 |       django.urls.utils
import time:   1553419 |    4264768 |     django.urls.resolvers
import time:   1326628 |  190271764 |   django.urls.base
import time:   1487701 |    1487701 |   django.urls.conf
import time:   2513475 |  194272939 | django.urls
import time:      1907 |       1907 |     logging.handlers
import time:      1620 |       1620 |     socketserver
import time:      2956 |       6482 |   logging.config
import time:      3603 |       3603 |           email._header_value_parser
import time:      1074 |       4676 |         email.headerregistry
import time:       847 |        847 |         email.contentmanager
import time:       671 |       6193 |       email.policy
import time:       870 |        870 |       email.generator
import time:       503 |        503 |         email.mime
import time:       539 |       1041 |       email.mime.base
import time:       200 |        200 |         email.mime.nonmultipart
import time:       233 |        432 |       email.mime.message
import time:       272 |        272 |       email.mime.multipart
import time:       246 |        246 |       email.mime.text
import time:   1367840 |    1367840 |       django.core.mail.utils
import time:   1435373 |    2812263 |     django.core.mail.message
import time:   1424355 |    4236618 |   django.core.mail
import time:   1375895 |    5618994 | django.utils.log
import time:   1456002 |    1456002 |       django.template.response
import time:   1408352 |    1408352 |       django.utils.decorators
import time:   1406855 |    4271208 |     django.views.generic.base
import time:   1341256 |    1341256 |       django.views.generic.detail
import time:   1441936 |    1441936 |         django.core.paginator
import time:   1556729 |    2998665 |       django.views.generic.list
import time:   1392962 |    5732882 |     django.views.generic.dates
import time:   1478646 |    1478646 |     django.views.generic.edit
import time:   1479391 |   12962125 |   django.views.generic
import time:        88 |   12962213 | django.views.generic.base
import time:      1722 |       1722 |     dataclasses
import time:      1502 |       3223 |   pprint
import time:   1447578 |    1447578 |   django.utils.timesince
import time:   1719392 |    3170192 | django.template.defaultfilters
import time:   1545572 |    1545572 |   django.views.decorators
import time:   1488052 |    3033624 | django.views.decorators.csp
import time:   1271765 |    1271765 | django.views.decorators.debug
import time:   1407507 |    1407507 |   django.utils.lorem_ipsum
import time:   1658057 |    1658057 |   django.template.smartif
import time:   2401245 |    5466808 | django.template.defaulttags
import time:   1380379 |    1380379 | django.contrib.admin.decorators
import time:   1314243 |    1314243 |   django.contrib.admin.exceptions
import time:   1398117 |    1398117 |         django.contrib.messages.constants
import time:   1359035 |    1359035 |         django.contrib.messages.storage
import time:   1358552 |    4115703 |       django.contrib.messages.api
import time:   1398923 |    1398923 |         django.contrib.messages.utils
import time:   1392382 |    2791304 |       django.contrib.messages.storage.base
import time:   1496293 |    8403300 |     django.contrib.messages
import time:   1467761 |    1467761 |             django.middleware
import time:   1356042 |    1356042 |             django.utils.cache
import time:   1422355 |    4246157 |           django.middleware.csrf
import time:   1468665 |    1468665 |           django.contrib.auth.signals
import time:   1397219 |    7112040 |         django.contrib.auth
import time:   1422587 |    1422587 |           django.contrib.auth.templatetags
import time:   1465779 |    1465779 |           django.contrib.auth.hashers
import time:   1381261 |    4269625 |         django.contrib.auth.templatetags.auth
import time:   1390541 |   12772206 |       django.contrib.admin.utils
import time:   1394965 |   14167170 |     django.contrib.admin.helpers
import time:   1624461 |    1624461 |     django.contrib.admin.widgets
import time:   2124013 |    2124013 |     django.contrib.admin.checks
import time:   1401647 |    1401647 |       django.contrib.admin.templatetags
import time:   1645668 |    3047315 |     django.contrib.admin.templatetags.admin_urls
import time:   1382878 |    1382878 |     django.views.decorators.csrf
import time:   1421791 |   32170924 |   django.contrib.admin.options
import time:   1804111 |   35289278 | django.contrib.admin.filters
import time:   1455287 |    1455287 |   django.contrib.admin.actions
import time:   1430943 |    1430943 |     django.contrib.admin.views
import time:   1493669 |    2924611 |   django.contrib.admin.views.autocomplete
import time:   1406598 |    1406598 |     django.shortcuts
import time:   1305141 |    2711739 |   django.contrib.auth.decorators
import time:   1458826 |    1458826 |     django.middleware.cache
import time:   1490089 |    2948915 |   django.views.decorators.cache
import time:   1395784 |    1395784 |   django.views.decorators.common
import time:   1472162 |    1472162 |   django.views.i18n
import time:   1386481 |   14294977 | django.contrib.admin.sites
import time:       735 |        735 |     getpass
import time:   1998506 |    1998506 |       django.contrib.contenttypes
import time:   2234073 |    2234073 |           django.db.migrations.utils
